town,index1910,index1920,index1930,index1940,index1950,index1960,index1970,index1980,index1990,index2000,index2010
Avon,0.61,0.59,0.53,0.77,1.16,1.24,1.41,1.56,1.69,1.93,2.01
Berlin,0.78,0.86,0.99,0.94,0.83,0.95,0.94,0.94,,1,0.97
Bloomfield,0.65,0.78,1.16,1.2,0.86,1,1.22,0.69,0.86,0.93,0.89
Bristol,1.16,1.38,1.35,1.23,0.86,1.03,0.85,0.84,,0.68,0.69
Burlington,0.38,0.28,0.29,0.35,0.86,0.69,0.77,1.4,,1.37,1.25
Canton,0.76,0.45,0.51,0.57,0.82,1.1,1.08,1.16,0.82,1.23,1.49
East Granby,0.61,0.48,0.5,0.51,0.53,0.92,1.06,1.47,1.04,1.06,0.91
East Hartford,1.33,1.16,1.41,1.44,1.42,0.87,0.83,0.55,0.78,0.61,0.52
East Windsor,0.92,0.68,0.58,0.71,0.44,0.78,0.74,0.73,0.85,0.67,0.77
Enfield,1.26,1.44,1.09,1.19,1.35,0.83,0.76,0.71,0.78,0.79,0.64
Farmington,0.95,1.23,1.33,1.04,1.54,1.07,1.04,1.08,1.33,1.39,1.55
Glastonbury,0.79,0.84,0.82,0.95,0.86,1.13,1.16,1.01,1.23,1.36,1.56
Granby,0.59,0.34,0.33,0.34,1.21,0.85,0.96,1.05,1.08,1.26,1.13
Hartford,2.44,4.49,2.24,2.11,1.04,0.55,0.97,0.61,0.71,0.5,0.67
Hartland,0.18,0.14,0.22,0.23,0.51,0.74,0.87,0.57,,0.86,0.79
Manchester,1.52,1.07,1.58,1.3,0.86,0.98,0.92,0.99,0.8,0.76,0.72
Marlborough,0.17,0.2,0.21,0.28,0.45,0.65,0.79,0.85,0.95,1.32,1.15
New Britain,1.79,1.68,1.47,1.35,0.9,1.15,0.88,0.75,,0.52,0.49
Newington,1.21,1.37,1.18,1.25,0.78,1.14,0.95,0.62,0.9,0.82,0.79
Plainville,0.8,0.77,1.15,0.97,0.63,0.84,0.78,0.58,,0.67,0.71
Rocky Hill,0.44,0.64,0.95,1.07,1.39,1.04,1.12,1.29,1.02,0.92,1.07
Simsbury,0.64,0.91,1.07,1.23,1.08,1.18,1.3,1.22,1.28,1.45,1.33
South Windsor,0.78,0.59,0.92,0.8,0.64,0.92,0.78,0.72,1.05,0.89,1.08
Southington,1.14,0.71,0.51,0.78,1.06,1.01,0.98,0.94,,1.11,1
Suffield,1.42,0.71,0.63,0.73,1.24,1.05,1.28,1.46,1.08,1.13,1.18
West Hartford,2.52,2.03,2.4,2.14,1.53,1.75,1.45,1.71,1.07,1.27,1.33
Wethersfield,0.67,1.5,1.66,1.59,1.63,1.37,1.12,1.17,0.93,0.92,0.9
Windsor,1.3,0.87,1.25,1.11,1.3,1.15,1.04,1.2,0.93,0.85,0.78
Windsor Locks,1.2,0.8,0.69,0.8,1.22,1.02,0.97,1.13,0.78,0.73,0.62